Record ID,Agency Code,Agency Name,Agency Type,City,State,Year,Month,Incident,Crime Type,Crime Solved,Victim Sex,Victim Age,Victim Race,Victim Ethnicity,Perpetrator Sex,Perpetrator Age,Perpetrator Race,Perpetrator Ethnicity,Relationship,Weapon,Victim Count,Perpetrator Count,Record Source
204965,GAAPD00,Atlanta,Municipal Police,Fulton,Georgia,1990,September,4,Murder or Manslaughter,No,Male,35,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
417314,AL00301,Montgomery,Municipal Police,Montgomery,Alabama,2001,August,1,Murder or Manslaughter,Yes,Male,41,White,Unknown,Male,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
563621,TXHPD00,Houston,Municipal Police,Harris,Texas,2009,July,19,Murder or Manslaughter,Yes,Male,23,White,Hispanic,Male,16,White,Not Hispanic,Stranger,Rifle,0,0,FBI
269809,CA01943,Lynwood,Municipal Police,Los Angeles,California,1993,May,2,Murder or Manslaughter,No,Male,20,White,Hispanic,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
516862,AZ00723,Phoenix,Municipal Police,Maricopa,Arizona,2007,April,12,Murder or Manslaughter,No,Male,27,White,Hispanic,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
610430,AR06002,Little Rock,Municipal Police,Pulaski,Arkansas,2012,July,6,Murder or Manslaughter,Yes,Female,65,Black,Unknown,Male,33,Black,Unknown,Unknown,Blunt Object,1,0,FBI
76319,NJ01111,Trenton,Municipal Police,Mercer,New Jersey,1983,December,1,Murder or Manslaughter,Yes,Female,13,Black,Unknown,Male,53,Black,Unknown,Stepdaughter,Blunt Object,0,0,FBI
251859,IN00201,Fort Wayne,Municipal Police,Allen,Indiana,1992,January,1,Murder or Manslaughter,Yes,Female,15,Black,Unknown,Male,18,Black,Unknown,Acquaintance,Handgun,0,0,FBI
445659,PA04817,Lower Saucon Township,Municipal Police,Northampton,Pennsylvania,2002,October,1,Murder or Manslaughter,Yes,Female,41,White,Not Hispanic,Male,12,White,Not Hispanic,Mother,Firearm,0,0,FBI
43833,WA01700,King,Sheriff,King,Washington,1981,March,3,Murder or Manslaughter,Yes,Male,63,White,Not Hispanic,Male,36,White,Not Hispanic,Acquaintance,Blunt Object,0,0,FBI
618500,NJ02004,Elizabeth,Municipal Police,Union,New Jersey,2012,June,1,Murder or Manslaughter,No,Male,41,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
